Francuski makaruni su tako ukusni,4
1. rad je užasan,3
Uznemiren sam!!!,3 
baciti loptu?,1 
Dobra   šala  ,2
koja je vaša omiljena bejzbol igra,1
Skuvao sam 23.4.20023 meso,4
prestani (da se) zezaš,3
Želim kinesku hranu,4
Hajdemo da igramo bejzbol,1
niste uspeli u ovoj vežbi,3
juče smo opet izgubili,3 
Bravo,2
ha ha ha bilo je tako smešno,2
Ja ću tortu sa sirom,4
Zašto se osećaš loše,3
Želim da se šalim,2
Nikad nisam rekao da za ovo,3 
zabava je otkazana,3 
gde je lopta,1
Frustriran sam,3 
ha ha ha lol,2
rekla je da,2
dobio je povišicu,2
porodica je sve što imam,0
on može dobro da baca,1
Volim do zvezda i nazad,0
voliš li picu,4 
U potpunosti zaslužujete ovu nagradu,2
Mnogo mi nedostaješ,0
Sviđa mi se tvoja jakna,2
dobila mi je poklon,0
hoćeš li biti moj valentine,0
pali ste na srednjem,3 
Ko je dole za restoran,4
Dan zaljubljenih je blizu,0
Sjajno tako super,2
imaš li loptu,1
ne može ništa da uradi,3
voli bejzbol,1
Večeras smo imali tako divnu večeru,0
povrće je zdravo,4
on je dobar prijatelj,0 
nikad više ne pričaj sa mnom,3
nedostaje mi,0 
hrana je život,4
Zabavljam se,2
Toliko loše da ne možete poći sa nama,3 
da li želiš da mi se pridružiš na večeri,4
Volim da se smejem,2 
uradio je neverovatan posao,2
Prestani da vičeš na mene,3
Volim da pravim pauze,0
Neverovatno ste inteligentni i talentovani,2
Ponosan sam na vaša dostignuća,2
Tako je tužno što nećeš doći,3 
smešno,2
Prestani da pričaš gluposti,3
Bravo za najavu koja je dobila veliku vuču,2
Ova specijalizacija je odlična,2
Čekao sam je dva sata,3 
potrebno joj je večnost da se spremi,3
Moja baka je ljubav mog života,0 
slaviću uskoro,2
moj kod radi ali mi je grejder dao nulu,3
Ona je najslađa osoba koju sam ikada video,0
on se smeje,2
Obožavam svoje pse,0
Volim te mama,0 
odličan posao,2
Kako se usuđuješ da to pitaš,3
ovaj tip je bio takva šala,2
Volim indijsku hranu,4
Da li ste doljli na bejzbol danas popodne,1
ovo je loše,3
Tvoja glupost nema granice,3
Volim svog tatu,0
Hoćeš li da me zagrliš,0
ova devojka je bila zla,3
Uzbuđen sam,2
nedostaje mi,0
Šta nije u redu sa tobom,3
tako su ljubazni i prijateljski raspoloženi,0
Tako sam impresioniran vašom posvećenošću ovom projektu,2
uspeli smo,2
Naručujem hranu,4
Zvuči kao zabavan plan ha ha,2
Tako sam srećan zbog tebe,2
Mnogo mi nedostaješ,0
Volim te,0
ovaj vic me ubija haha,2
Niste kvalifikovani za ovu poziciju,3
nedostaješ mi draga,0
Želim da jedem,4
Tako sam uzbuđen što te vidim posle toliko vremena,2
on je najbolji igrač,1
Kakav zabavan trenutak,2
moj algoritam radi loše,3
Prestani da vičeš na mene,3
njen osmeh je tako šarmantan,2
Ovo je najgori dan u mom životu,3
on je zgodan,0
niko ga ne voli,3
ona je privlačna,0
Bilo je smešno lol,2
on je tako sladak,0
dobro ste položili ispit,2
Mislim da ću završiti sam,3
Hajde da jedemo zajedno,4
šteta što nisi bio ovde,3
Želim da se igram,1
ti si gubitnik,3
Umirem od gladi,4
sranje si,3
Čestitam,2
niste mogli da ga rešite,3
Izgubio sam novčanik,3
nije odgovorila na moj tekst,3
Taj hvatač je sranje,1
Vidimo se u restoranu,4
Ja sam kuvao pirinač,4
Rekao sam da,2
slatkiši su život,2
igra se upravo završila,1
Prvi čovek iz baze je dobio loptu,1
čestitam na prihvatanju,2
Zadatak je predugačak,3
lol,2
Ponizila me sestra,3
Želim da jedem,4
predavanja su ipak odlična,2
nisi uradio domaći,3
Beba je divna,0
Bravo,2
Nedostajao si mi,0
Tražim sastanak,0
gde je hrana,4
grozan si,3
bilo kakav predlog za večeru,4
ona je srećna,2
Uvek radim,3
Ovo je tako smešno,2
imaš lošu ocenu,3
Želim da jedem suši za večeru,4
ona se mnogo smeje,2
Čikaški mladunci su ponovo pobedili,1
Dobio sam odobrenje,2
kolačići su dobri,4
Mrzim ga,3
Idem na stadion,1
Veoma sam razočaran,3
Zauvek sam ponosan na tebe,2
Ova devojka se zeza sa mnom,3
Čestitam na novom poslu,2
uživajte u pauzi,2
odlazi,3
Radio sam tokom svog rođendana,3
Čestitam imam bebu,2
Gladan sam,4
Ona je moja najdraža ljubav,0
ona je tako slatka,0
Volim pse,0
Nisam doručkovao,3
moj pas je upravo imao nekoliko štenaca,0
Mnogo mi se sviđaš,0
morao je da napravi houmran,1
Ja sam na bejzbol utakmici,1
jesi li ozbiljan ha ha,2
Volim da se smejem,2
Prestani da se šališ ha ha ha,2
